Symbol,LastPrice,Change,Changep,Ranker
SQQQ,10.85,0.23,2%,14
SPXU,7.11,0.0997,1%,14
NEE,55.03,0.06,0%,14
GDX,28.98,0.47,2%,14
GOLD,15.72,0.26,2%,14
SH,12.27,0.0503,0%,14
NEM,33.95,0.47,1%,14
CHPT,2.02,-0.05,-2%,14
SDS,26.46,0.25,1%,14
NUGT,29.35,0.88,3%,14
ALB,122.70,-10.5,-8%,14
GDXJ,35.24,0.49,1%,14
CVX,148.60,-0.28,0%,14
WMT,59.49,0.19,0%,14
LAC,5.09,-0.34,-6%,14
MRO,24.21,-0.05,0%,14
AUY,-,-,-,14
HL,3.95,0.0397,1%,14
ICLN,13.88,-0.03,0%,14
VSTA,3.89,0.01,0%,14
VST,57.00,0.01,0%,14
CNP,27.99,0.05,0%,14
SFET,-,-,-,14
GORO,0.26,-0.0076,-3%,14
WRN,1.37,-0.05,-4%,14
AP,2.49,0,0%,14
KR,49.72,0.35,1%,14
ASIX,27.50,0,0%,14
AN,147.89,0.04,0%,14
ABG,205.00,-0.5,0%,14
BELFA,62.78,-2.12,-3%,14
USDU,25.98,0,0%,14
TAN,43.39,0,0%,14
TNK,53.50,0.2,0%,14
$XAU,112.99,-0.0023,0%,14
SLY,-,-,-,14
TXN,171.25,-1.19,-1%,14
REGI,-,-,-,14
UUP,28.04,0,0%,14
FSLR,154.84,-1.86,-1%,14
SCCO,81.13,-0.66,-1%,14
SEDG,66.39,-0.67,-1%,14
HASI,25.39,-0.11,0%,14
JNJ,160.12,0.28,0%,14
LLY,786.13,-6.155,-1%,14
INCY,59.72,0,0%,14
YMAB,17.02,-0.31,-2%,14
FTCO,4.45,0,0%,14
APA,30.02,-0.01,0%,14
AIR,66.48,0,0%,14
SIVR,23.00,0.13,1%,14
LSRCY,54.65,-0.65,-1%,14
PXD,233.01,-1.69,-1%,14
LNN,120.49,0,0%,14
LICY,0.42,0.0127,3%,14
ABML,9.83,0,0%,14
PLL,14.27,-0.22,-2%,14
LTHM,16.51,0,0%,14
GLNCY,9.52,-0.1011,-1%,14
AA,27.25,-0.23,-1%,14
SLI,1.29,0.02,2%,14
SQM,46.05,-2.08,-4%,14
DMAT,13.54,-0.38,-3%,14
OROCF,-,-,-,14
SGML,15.18,-0.41,-3%,14
OXY,60.48,-0.205,0%,14
