Symbol,Ratings
BEAM,6
NFLX,5
XBI,5
CETHF,5
CHGG,5
NIO,4
NUGT,4
NVDA,4
PYPL,4
ROKU,4
SEDG,4
TAN,4
AMD,4
ARKK,4
BOIL,4
ENPH,4
FSLR,4
HASI,4
HL,4
IGT,4
JETS,4
JKS,4
LEN,4
NXPI,3
S&P 500 VOLATILITY NEAR TERM,3
SCCO,3
SLYV,3
SPCE,3
SSO,3
WYNN,3
AAPL,3
AES,3
AMZN,3
ASML,3
AUY,3
CLOU,3
COMP,3
DUST,3
HEPZF,3
ICLN,3
IHG,3
INTC,3
IWC,3
KSTR,3
MCHP,3
NASDAQ 100 INDEX,2
NEE,2
NTNX,2
QQQ,2
RCD,2
SCHF,2
SMH,2
SNPS,2
SPSM,2
SQQQ,2
XLC,2
XTN,2
AMAZON VIX,2
AMGN,2
AVUV,2
CBOE VOLATILITY INDEX S&P500,2
DJIA VOLATILITY,2
EDF,2
FGD,2
FHN,2
IWM,2
IYT,2
PFE,1
PM,1
S&P 100 INDEX,1
S&P 500 INDEX,1
SDS,1
SGMS,1
SPY,1
TLT,1
TYO,1
UPS,1
XLF,1
XLP,1
XLU,1
XLV,1
XLY,1
DOW JONES 30 INDUSTRIALS,1
FDFAX,1
MHI,1
MSFT,1
MZZ,1
