Symbol,Last Price,Change $,Change %,Ranker
ADPT,3.68,-0.315,-8%,14
CYDY,0.24,-0.011,-4%,14
PSTV,2.04,-0.0853,-4%,14
ALT,10.79,-0.26,-2%,14
NARI,42.41,-1.6,-4%,14
CURLF,4.50,-0.1999,-4%,14
NTLA,31.48,-0.915,-3%,14
MESO,1.99,-0.06,-3%,14
EDIT,9.62,-0.3,-3%,14
TCNNF,9.79,-0.38,-4%,14
CRSP,79.95,-1.79,-2%,14
SFOSF,1.78,-0.035,-2%,14
LLY,780.48,-11.805,-1%,14
MRNA,94.46,-1.54,-2%,14
YMAB,17.16,-0.17,-1%,14
INO,9.74,-0.0817,-1%,14
REGN,963.99,-7.205,-1%,14
VRTX,421.53,-2.5,-1%,14
INCY,59.25,-0.47,-1%,14
PFE,25.77,-0.12,0%,14
MRK,123.51,-0.54,0%,14
BNTX,88.91,-0.39,0%,14
IMUX,1.53,-0.005,0%,14
ABT,119.78,-0.26,0%,14
BIIB,220.62,-0.4,0%,14
AMGN,278.59,-0.7975,0%,14
APT,5.74,-0.01,0%,14
BEAM,38.12,-0.12,0%,14
STZ,247.65,-0.38,0%,14
CASBF,2.30,0,0%,14
DVAX,12.73,-0.0092,0%,14
NHKFF,0.36,0,0%,14
SVA,0.00,0,0%,14
SNY,47.56,0.41,1%,14
VIR,11.23,0.035,0%,14
GSK,42.64,0.195,0%,14
GILD,72.43,0.18,0%,14
AZN,64.93,0.135,0%,14
RHHVF,262.78,0.6574,0%,14
TEVA,13.51,0.065,0%,14
APDN,0.56,0.005,1%,14
AIM,0.40,0.0044,1%,14
DYAI,1.42,0.001,0%,14
AQST,4.45,0.2701,6%,14
APDN,0.56,0.005,1%,14
JNJ,161.08,1.24,1%,14
DSNKY,32.86,0.2385,1%,14
PXD,236.39,1.69,1%,14
CTLT,57.05,0.1,0%,14
TBIO,0.50,0.0147,3%,14
